 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4703519 -0.882479
 -14.86 4.28 0.4688109 -0.8832986
 -14.86 4.28 0.4463091 -0.8948789
 -14.86 4.28 0.423522 -0.9058858
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4195653 -0.9077252
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4203572 -0.9073587
 -14.86 4.28 0.4219401 -0.9066237
W -15.46618 3.59357 0.9884747 0.1513861
W -15.44703 3.536709 0.9868352 0.1617287
W -15.4263 3.480404 0.984481 0.1754913
W -15.40478 3.424395 0.9832318 0.18236
W -15.38307 3.368461 0.9829121 0.1840757
W -15.36107 3.312642 0.9824268 0.1866481
W -15.33877 3.256938 0.9819348 0.1892196
W -15.31609 3.201391 0.9812683 0.1926459
W -15.29321 3.145925 0.9809306 0.1943582
W -15.27033 3.090458 0.9809306 0.1943582
W -15.24745 3.034991 0.9809306 0.1943582
W -15.22457 2.979524 0.9809306 0.1943582
W -15.20228 2.92382 0.9819348 0.1892195
W -15.18145 2.867552 0.9843276 0.1763501
W -15.16249 2.810624 0.9871161 0.1600059
_W -15.16249 2.810624 0.9902505 0.1392981
_W -15.16249 2.810624 0.9928468 0.1193958
_W -15.16249 2.810624 0.994417 0.1055219
_W -15.16249 2.810624 0.9953 0.09683998
_W -15.16249 2.810624 0.9957934 0.09162725
_W -15.16249 2.810624 0.9961072 0.08815081
_W -15.16249 2.810624 0.9964823 0.08380368
_W -15.16249 2.810624 0.9968385 0.07945494
_W -15.16249 2.810624 0.9972408 0.0742344
_W -15.16249 2.810624 0.9976159 0.06901195
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
_W -15.16249 2.810624 0.9977348 0.06727077
