 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04185669 0.9991236
 -15.13633 2.257618 0.04098478 0.9991598
 -15.13633 2.257618 0.04098479 0.9991598
 -15.13633 2.257618 0.04098482 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
 -15.13633 2.257618 0.04098484 0.9991598
W -15.05079 3.858094 0.871224 -0.4908857
W -15.09787 3.820905 0.8999476 -0.4359981
W -15.14081 3.778999 0.9215328 -0.3883008
W -15.17849 3.732302 0.9429394 -0.3329645
W -15.21117 3.681981 0.9588256 -0.2839954
W -15.23915 3.628905 0.9707215 -0.2402078
W -15.26172 3.573312 0.9814643 -0.1916449
W -15.27956 3.516026 0.9886287 -0.1503774
W -15.29254 3.457447 0.9940587 -0.1088458
W -15.29177 3.401812 0.9980825 -0.06189814
W -15.28001 3.346332 0.9999622 -0.008704955
W -15.27519 3.286526 0.9991935 0.04015339
W -15.2656 3.227298 0.9967772 0.08022031
W -15.25374 3.168482 0.9950535 0.0993409
W -15.24177 3.109687 0.9949664 0.1002092
W -15.23094 3.050673 0.9958825 0.09065344
W -15.22134 2.991446 0.9967772 0.08021985
W -15.2132 2.932001 0.9976829 0.06803612
W -15.20609 2.872423 0.9982386 0.05932716
W -15.19961 2.812775 0.9985356 0.05409968
W -15.19323 2.753115 0.9985824 0.05322832
W -15.18685 2.693455 0.9985824 0.05322832
W -15.18047 2.633795 0.9985824 0.05322832
W -15.1741 2.574135 0.9985824 0.05322832
W -15.16761 2.514486 0.9985356 0.05409968
W -15.16092 2.45486 0.9984396 0.05584226
W -15.15402 2.395258 0.9983407 0.05758468
W -15.14712 2.335656 0.9983407 0.05758468
W -15.14023 2.276054 0.9983407 0.05758468
W -15.13333 2.216452 0.9983407 0.05758468
W -15.12643 2.15685 0.9983407 0.05758468
W -15.11953 2.097248 0.9983407 0.05758468
W -15.11263 2.037646 0.9983407 0.05758468
W -15.10573 1.978043 0.9983407 0.05758468
W -15.09883 1.918441 0.9983407 0.05758468
W -15.09193 1.858839 0.9983407 0.05758468
W -15.08503 1.799237 0.9983407 0.05758468
W -15.07824 1.739623 0.9983905 0.05671349
W -15.07144 1.680009 0.9983905 0.05671349
W -15.06465 1.620395 0.9983905 0.05671349
W -15.05785 1.560781 0.9983905 0.05671349
W -15.05106 1.501167 0.9983905 0.05671349
W -15.04426 1.441553 0.9983905 0.05671349
W -15.03747 1.381939 0.9983905 0.05671349
W -15.03067 1.322325 0.9983905 0.05671349
W -15.02388 1.26271 0.9983905 0.05671349
W -15.01719 1.203085 0.9984396 0.05584226
W -15.01071 1.143436 0.9985356 0.05409968
_W -15.01071 1.143436 0.9988474 0.04799913
_W -15.01071 1.143436 0.9995593 0.02968729
_W -15.01071 1.143436 1 2.093712E-05
_W -15.01071 1.143436 0.9991599 -0.04098285
_W -15.01071 1.143436 0.9961202 -0.08800389
_W -15.01071 1.143436 0.9888897 -0.1486513
_W -15.01071 1.143436 0.9757307 -0.2189739
_W -15.01071 1.143436 0.9583287 -0.2856678
_W -15.01071 1.143436 0.9335882 -0.3583477
_W -15.01071 1.143436 0.9033446 -0.4289154
_W -15.01071 1.143436 0.8642859 -0.5030009
_W -15.01071 1.143436 0.8211619 -0.5706954
_W -15.01071 1.143436 0.7738543 -0.6333638
_W -15.01071 1.143436 0.7229827 -0.6908662
_W -15.01071 1.143436 0.6488013 -0.7609579
_W -15.01071 1.143436 0.5913277 -0.8064314
_W -15.01071 1.143436 0.5373186 -0.8433794
_W -15.01071 1.143436 0.4848298 -0.8746085
_W -15.01071 1.143436 0.4407433 -0.8976332
_W -15.01071 1.143436 0.3939632 -0.9191262
_W -15.01071 1.143436 0.3567595 -0.9341963
_W -15.01071 1.143436 0.3231134 -0.9463602
_W -15.01071 1.143436 0.2932281 -0.9560425
_W -15.01071 1.143436 0.2731422 -0.9619737
_W -15.01071 1.143436 0.2630541 -0.9647811
_W -15.01071 1.143436 0.2546251 -0.9670399
_W -15.01071 1.143436 0.2487132 -0.9685771
_W -15.01071 1.143436 0.247868 -0.9687939
_W -15.01071 1.143436 0.2453305 -0.9694395
_W -15.01071 1.143436 0.2351654 -0.9719554
_W -15.01071 1.143436 0.2258247 -0.974168
_W -15.01071 1.143436 0.2249743 -0.9743647
_W -15.01071 1.143436 0.2249743 -0.9743647
_W -15.01071 1.143436 0.2249743 -0.9743647
_W -15.01071 1.143436 0.224124 -0.9745606
_W -15.01071 1.143436 0.2164628 -0.9762909
_W -15.01071 1.143436 0.2045195 -0.9788625
_W -15.01071 1.143436 0.1916889 -0.9814557
_W -15.01071 1.143436 0.189119 -0.9819542
_W -15.01071 1.143436 0.189119 -0.9819542
_W -15.01071 1.143436 0.189119 -0.9819542
_W -15.01071 1.143436 0.189119 -0.9819542
E -15.01071 1.143436 0.189119 -0.9819542
E -15.01071 1.143436 0.189119 -0.9819542
E -15.01071 1.143436 0.188262 -0.9821188
E -15.01071 1.143436 0.1865475 -0.982446
E -15.01071 1.143436 0.182259 -0.9832506
E -15.01071 1.143436 0.1779673 -0.9840364
E -15.01071 1.143436 0.1753904 -0.984499
E -15.01071 1.143436 0.1736723 -0.9848036
E -15.01071 1.143436 0.1728128 -0.9849547
E -15.01071 1.143436 0.171953 -0.9851052
E -15.01071 1.143436 0.1702336 -0.9854038
E -15.01071 1.143436 0.1693736 -0.985552
E -15.01071 1.143436 0.1693736 -0.985552
E -15.01071 1.143436 0.1693736 -0.985552
E -15.01071 1.143436 0.1693736 -0.985552
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1685135 -0.9856994
_E -15.01071 1.143436 0.1676531 -0.985846
_E -15.01071 1.143436 0.1659321 -0.9861372
_E -15.01071 1.143436 0.162489 -0.9867104
_E -15.01071 1.143436 0.1547345 -0.9879561
_E -15.01071 1.143436 0.14438 -0.9895223
_E -15.01071 1.143436 0.1288197 -0.991668
_E -15.01071 1.143436 0.1028169 -0.9947003
_E -15.01071 1.143436 0.07848352 -0.9969154
_E -15.01071 1.143436 0.04713115 -0.9988887
_E -15.01071 1.143436 0.01136913 -0.9999354
_E -15.01071 1.143436 0.02266274 0.9997432
_E -15.01071 1.143436 0.05928182 0.9982413
_E -15.01071 1.143436 0.1053718 0.9944329
_E -15.01071 1.143436 0.1408769 0.9900271
_E -15.01071 1.143436 0.1796366 0.9837331
_E -15.01071 1.143436 0.2189709 0.9757314
_E -15.01071 1.143436 0.2596382 0.965706
_E -15.01071 1.143436 0.2981846 0.9545082
_E -15.01071 1.143436 0.3321381 0.9432307
_E -15.01071 1.143436 0.3640414 0.9313828
_E -15.01071 1.143436 0.3963244 0.9181105
_E -15.01071 1.143436 0.4422668 0.8968835
_E -15.01071 1.143436 0.4863141 0.8737841
_E -15.01071 1.143436 0.5328557 0.8462061
_E -15.01071 1.143436 0.5749854 0.8181637
_E -15.01071 1.143436 0.6190748 0.785332
_E -15.01071 1.143436 0.6467712 0.7626842
_E -15.01071 1.143436 0.6678144 0.7443278
_E -15.01071 1.143436 0.683256 0.7301789
_E -15.01071 1.143436 0.6940129 0.7199626
_E -15.01071 1.143436 0.7033774 0.7108166
_E -15.01071 1.143436 0.7101683 0.7040319
_E -15.01071 1.143436 0.711396 0.7027914
_E -15.01071 1.143436 0.711396 0.7027914
_E -15.01071 1.143436 0.711396 0.7027914
_E -15.01071 1.143436 0.7126215 0.7015487
_E -15.01071 1.143436 0.7175018 0.6965566
_E -15.01071 1.143436 0.726558 0.6871051
_E -15.01071 1.143436 0.7348981 0.6781775
_E -15.01071 1.143436 0.7413742 0.6710919
_E -15.01071 1.143436 0.7442954 0.6678506
_E -15.01071 1.143436 0.7454598 0.6665506
_E -15.01071 1.143436 0.7454598 0.6665506
_E -15.01071 1.143436 0.7454598 0.6665506
_E -15.01071 1.143436 0.7454598 0.6665506
_E -15.01071 1.143436 0.7454598 0.6665506
_E -15.01071 1.143436 0.7454598 0.6665506
_E -15.01071 1.143436 0.7454598 0.6665506
W -14.95108 1.136751 0.7454598 0.6665506
W -14.89145 1.130065 0.7454598 0.6665506
W -14.83184 1.123276 0.7460412 0.6658998
W -14.77226 1.116175 0.747782 0.6639444
W -14.7127 1.108969 0.7483611 0.6632916
W -14.65314 1.10166 0.7489396 0.6626382
W -14.59359 1.094351 0.7489396 0.6626382
W -14.53404 1.087041 0.7489396 0.6626382
W -14.47448 1.079732 0.7489396 0.6626382
W -14.41493 1.072423 0.7489396 0.6626382
W -14.35538 1.065114 0.7489396 0.6626382
W -14.29582 1.057804 0.7489396 0.6626382
W -14.23627 1.050495 0.7489396 0.6626382
W -14.17672 1.043186 0.7489396 0.6626382
W -14.11716 1.035876 0.7489396 0.6626382
W -14.05761 1.028567 0.7489396 0.6626382
W -13.99806 1.021258 0.7489396 0.6626382
W -13.93851 1.013948 0.7489396 0.6626382
W -13.87895 1.006639 0.7489396 0.6626382
W -13.8194 0.9993297 0.7489396 0.6626382
W -13.75985 0.9920205 0.7489396 0.6626382
W -13.70029 0.9847112 0.7489396 0.6626382
W -13.64074 0.977402 0.7489396 0.6626382
W -13.58119 0.9700927 0.7489396 0.6626382
W -13.52162 0.9628874 0.7483611 0.6632916
W -13.46206 0.9556821 0.7483611 0.6632916
W -13.40249 0.9484768 0.7483611 0.6632916
W -13.34292 0.9412715 0.7483611 0.6632916
W -13.28336 0.9340662 0.7483611 0.6632916
W -13.22379 0.9268609 0.7483611 0.6632916
W -13.16422 0.9197595 0.7477819 0.6639444
W -13.10464 0.9126582 0.7477819 0.6639444
W -13.04503 0.9057648 0.746622 0.6652485
W -12.98542 0.8989756 0.7460412 0.6658998
W -12.92581 0.8921863 0.7460412 0.6658998
W -12.86619 0.885397 0.7460412 0.6658998
W -12.80658 0.8786077 0.7460412 0.6658998
W -12.74696 0.8718185 0.7460412 0.6658998
W -12.68735 0.8650292 0.7460412 0.6658998
W -12.62774 0.8582399 0.7460412 0.6658998
W -12.56812 0.8514507 0.7460412 0.6658998
W -12.50851 0.8446614 0.7460412 0.6658998
W -12.44887 0.8380802 0.7448779 0.6672009
W -12.38918 0.8320197 0.7419596 0.6704445
W -12.32946 0.8261676 0.7407884 0.6717385
W -12.26974 0.8204198 0.7402019 0.6723847
W -12.21001 0.8146719 0.7402019 0.6723847
W -12.15029 0.8089241 0.7402019 0.6723847
W -12.09055 0.8033847 0.7390272 0.6736756
W -12.03076 0.7983669 0.7360808 0.6768937
W -11.97092 0.793871 0.7331203 0.680099
W -11.91109 0.7894796 0.7325265 0.6807385
W -11.85125 0.7850882 0.7325265 0.6807385
W -11.79141 0.7806967 0.7325265 0.6807385
W -11.73157 0.7763053 0.7325265 0.6807385
W -11.67173 0.7719139 0.7325265 0.6807385
W -11.61189 0.7675225 0.7325265 0.6807385
W -11.55205 0.763131 0.7325265 0.6807385
W -11.49221 0.7587396 0.7325265 0.6807385
W -11.43237 0.7543482 0.7325265 0.6807385
W -11.37252 0.7500612 0.7319322 0.6813775
W -11.31266 0.7459832 0.7307419 0.6826539
W -11.25278 0.7423232 0.7283545 0.6852005
W -11.19287 0.7389767 0.7265582 0.6871049
W -11.13295 0.7358394 0.7253579 0.688372
W -11.07303 0.7328067 0.7247569 0.6890047
W -11.0131 0.7297741 0.7247569 0.6890047
W -10.95318 0.7267414 0.7247569 0.6890047
W -10.89326 0.7237087 0.7247569 0.6890047
W -10.83333 0.720676 0.7247569 0.6890047
W -10.77341 0.7176433 0.7247569 0.6890047
W -10.71349 0.7146106 0.7247569 0.6890047
W -10.65356 0.711578 0.7247569 0.6890047
W -10.59364 0.7086498 0.7241554 0.6896369
W -10.53371 0.7057217 0.7241554 0.6896369
W -10.47377 0.7028981 0.7235532 0.6902686
W -10.41384 0.7000746 0.7235532 0.6902686
W -10.35391 0.6972511 0.7235532 0.6902686
W -10.29397 0.6944275 0.7235532 0.6902686
W -10.23404 0.691604 0.7235532 0.6902686
W -10.1741 0.6887805 0.7235532 0.6902686
W -10.11417 0.685957 0.7235532 0.6902686
W -10.05424 0.6831334 0.7235532 0.6902686
W -9.994304 0.6803099 0.7235532 0.6902686
W -9.93437 0.6774864 0.7235532 0.6902686
W -9.874436 0.6746628 0.7235532 0.6902686
W -9.814503 0.6718393 0.7235532 0.6902686
W -9.754569 0.6690158 0.7235532 0.6902686
W -9.694635 0.6661922 0.7235532 0.6902686
W -9.634702 0.6633687 0.7235532 0.6902686
W -9.574768 0.6605452 0.7235532 0.6902686
W -9.514834 0.6577216 0.7235532 0.6902686
W -9.454901 0.6548981 0.7235532 0.6902686
W -9.394967 0.6520746 0.7235532 0.6902686
W -9.335033 0.649251 0.7235532 0.6902686
W -9.2751 0.6464275 0.7235532 0.6902686
W -9.215166 0.643604 0.7235532 0.6902686
W -9.155232 0.6407804 0.7235532 0.6902686
W -9.095299 0.6379569 0.7235532 0.6902686
W -9.035365 0.6351334 0.7235532 0.6902686
W -8.975431 0.6323099 0.7235532 0.6902686
W -8.91548 0.6299048 0.7211394 0.69279
W -8.855506 0.6281277 0.7175021 0.6965563
W -8.795524 0.6266646 0.7156761 0.6984323
W -8.735541 0.6252016 0.7156761 0.6984323
W -8.675559 0.6237385 0.7156761 0.6984323
W -8.615577 0.6222755 0.7156761 0.6984323
W -8.555594 0.6208124 0.7156761 0.6984323
W -8.495612 0.6193494 0.7156761 0.6984323
W -8.43563 0.6178863 0.7156761 0.6984323
W -8.375648 0.6164232 0.7156761 0.6984323
W -8.315665 0.6149602 0.7156761 0.6984323
W -8.255683 0.6134971 0.7156761 0.6984323
W -8.195701 0.6120341 0.7156761 0.6984323
W -8.135718 0.610571 0.7156761 0.6984323
W -8.075736 0.609108 0.7156761 0.6984323
W -8.015754 0.6076449 0.7156761 0.6984323
W -7.955771 0.6061819 0.7156761 0.6984323
W -7.895789 0.6047188 0.7156761 0.6984323
W -7.835807 0.6032557 0.7156761 0.6984323
W -7.775825 0.6017927 0.7156761 0.6984323
W -7.715842 0.6003296 0.7156761 0.6984323
W -7.65586 0.5988666 0.7156761 0.6984323
W -7.595878 0.5974035 0.7156761 0.6984323
W -7.535895 0.5959405 0.7156761 0.6984323
W -7.475913 0.5944774 0.7156761 0.6984323
W -7.415931 0.5930144 0.7156761 0.6984323
W -7.355948 0.5915513 0.7156761 0.6984323
W -7.295966 0.5900882 0.7156761 0.6984323
W -7.235984 0.5886252 0.7156761 0.6984323
W -7.176002 0.5871621 0.7156761 0.6984323
W -7.116019 0.5856991 0.7156761 0.6984323
W -7.056037 0.584236 0.7156761 0.6984323
W -6.996055 0.582773 0.7156761 0.6984323
W -6.936072 0.5813099 0.7156761 0.6984323
W -6.87609 0.5798469 0.7156761 0.6984323
W -6.816108 0.5783838 0.7156761 0.6984323
W -6.756125 0.5769207 0.7156761 0.6984323
W -6.696143 0.5754577 0.7156761 0.6984323
W -6.636161 0.5739946 0.7156761 0.6984323
W -6.576179 0.5725316 0.7156761 0.6984323
W -6.516196 0.5710685 0.7156761 0.6984323
W -6.456214 0.5696055 0.7156761 0.6984323
W -6.396232 0.5681424 0.7156761 0.6984323
W -6.336249 0.5666794 0.7156761 0.6984323
W -6.276267 0.5652163 0.7156761 0.6984323
W -6.216285 0.5637532 0.7156761 0.6984323
W -6.156302 0.5622902 0.7156761 0.6984323
W -6.09632 0.5608271 0.7156761 0.6984323
W -6.036338 0.5593641 0.7156761 0.6984323
W -5.976356 0.557901 0.7156761 0.6984323
W -5.916373 0.556438 0.7156761 0.6984323
W -5.856391 0.5549749 0.7156761 0.6984323
W -5.796409 0.5535119 0.7156761 0.6984323
W -5.736426 0.5520488 0.7156761 0.6984323
W -5.676444 0.5505857 0.7156761 0.6984323
W -5.616462 0.5491227 0.7156761 0.6984323
W -5.556479 0.5476596 0.7156761 0.6984323
W -5.496497 0.5461966 0.7156761 0.6984323
W -5.436515 0.5447335 0.7156761 0.6984323
W -5.376533 0.5432705 0.7156761 0.6984323
W -5.31655 0.5418074 0.7156761 0.6984323
W -5.256568 0.5403444 0.7156761 0.6984323
W -5.196586 0.5388813 0.7156761 0.6984323
W -5.136603 0.5374182 0.7156761 0.6984323
W -5.076621 0.5359552 0.7156761 0.6984323
W -5.016639 0.5344921 0.7156761 0.6984323
W -4.956656 0.5330291 0.7156761 0.6984323
W -4.896674 0.531566 0.7156761 0.6984323
W -4.836692 0.530103 0.7156761 0.6984323
W -4.77671 0.5286399 0.7156761 0.6984323
W -4.716727 0.5271769 0.7156761 0.6984323
W -4.656745 0.5257138 0.7156761 0.6984323
W -4.596763 0.5242507 0.7156761 0.6984323
W -4.53678 0.5227877 0.7156761 0.6984323
W -4.476798 0.5213246 0.7156761 0.6984323
W -4.416816 0.5198616 0.7156761 0.6984323
W -4.356833 0.5183985 0.7156761 0.6984323
W -4.296851 0.5169355 0.7156761 0.6984323
W -4.236869 0.5154724 0.7156761 0.6984323
W -4.176887 0.5140094 0.7156761 0.6984323
W -4.116904 0.5125463 0.7156761 0.6984323
W -4.056922 0.5110832 0.7156761 0.6984323
W -3.99694 0.5096202 0.7156761 0.6984323
W -3.936958 0.5081571 0.7156761 0.6984323
W -3.876976 0.5066941 0.7156761 0.6984323
W -3.816994 0.505231 0.7156761 0.6984323
W -3.757012 0.503768 0.7156761 0.6984323
W -3.69703 0.5023049 0.7156761 0.6984323
W -3.637048 0.5008419 0.7156761 0.6984323
W -3.577065 0.4993788 0.7156761 0.6984323
W -3.517083 0.4979157 0.7156761 0.6984323
W -3.457101 0.4964527 0.7156761 0.6984323
W -3.397119 0.4949896 0.7156761 0.6984323
W -3.337137 0.4935266 0.7156761 0.6984323
W -3.277155 0.4920635 0.7156761 0.6984323
W -3.217173 0.4906005 0.7156761 0.6984323
W -3.157191 0.4891374 0.7156761 0.6984323
W -3.097209 0.4876744 0.7156761 0.6984323
W -3.037227 0.4862113 0.7156761 0.6984323
W -2.977245 0.4847482 0.7156761 0.6984323
W -2.917263 0.4832852 0.7156761 0.6984323
W -2.857281 0.4818221 0.7156761 0.6984323
W -2.797299 0.4803591 0.7156761 0.6984323
W -2.737317 0.478896 0.7156761 0.6984323
W -2.677335 0.477433 0.7156761 0.6984323
W -2.617352 0.4759699 0.7156761 0.6984323
W -2.55737 0.4745069 0.7156761 0.6984323
W -2.497388 0.4730438 0.7156761 0.6984323
W -2.437406 0.4715807 0.7156761 0.6984323
W -2.377424 0.4701177 0.7156761 0.6984323
W -2.317442 0.4686546 0.7156761 0.6984323
W -2.25746 0.4671916 0.7156761 0.6984323
W -2.197478 0.4657285 0.7156761 0.6984323
W -2.137496 0.4642655 0.7156761 0.6984323
W -2.077514 0.4628024 0.7156761 0.6984323
W -2.017532 0.4613394 0.7156761 0.6984323
W -1.95755 0.4598763 0.7156761 0.6984323
W -1.897568 0.4584132 0.7156761 0.6984323
W -1.837585 0.4569502 0.7156761 0.6984323
W -1.777603 0.4554871 0.7156761 0.6984323
W -1.717621 0.4540241 0.7156761 0.6984323
W -1.657639 0.452561 0.7156761 0.6984323
W -1.597657 0.451098 0.7156761 0.6984323
W -1.537674 0.4496349 0.7156761 0.6984323
W -1.477692 0.4481719 0.7156761 0.6984323
W -1.41771 0.4467088 0.7156761 0.6984323
W -1.357728 0.4452457 0.7156761 0.6984323
W -1.297746 0.4437827 0.7156761 0.6984323
W -1.237764 0.4423196 0.7156761 0.6984323
W -1.177781 0.4408566 0.7156761 0.6984323
W -1.117799 0.4393935 0.7156761 0.6984323
W -1.057817 0.4379305 0.7156761 0.6984323
W -0.9978348 0.4364674 0.7156761 0.6984323
W -0.9378526 0.4350044 0.7156761 0.6984323
W -0.8778704 0.4335413 0.7156761 0.6984323
W -0.8178883 0.4320782 0.7156761 0.6984323
W -0.7579061 0.4306152 0.7156761 0.6984323
W -0.6979239 0.4291521 0.7156761 0.6984323
W -0.6379417 0.4276891 0.7156761 0.6984323
W -0.5779595 0.426226 0.7156761 0.6984323
W -0.5179774 0.424763 0.7156761 0.6984323
W -0.4579952 0.4232999 0.7156761 0.6984323
W -0.3980131 0.4218369 0.7156761 0.6984323
W -0.3380309 0.4203738 0.7156761 0.6984323
W -0.2780488 0.4189107 0.7156761 0.6984323
W -0.2180666 0.4174477 0.7156761 0.6984323
W -0.1580845 0.4159846 0.7156761 0.6984323
W -0.0981023 0.4145216 0.7156761 0.6984323
W -0.03812015 0.4130585 0.7156761 0.6984323
W 0.02186201 0.4115955 0.7156761 0.6984323
W 0.08184417 0.4101324 0.7156761 0.6984323
W 0.1418263 0.4086694 0.7156761 0.6984323
W 0.2018085 0.4072063 0.7156761 0.6984323
W 0.2617906 0.4057432 0.7156761 0.6984323
W 0.3217728 0.4042802 0.7156761 0.6984323
W 0.3817574 0.4029218 0.7150664 0.6990566
W 0.4417516 0.4020869 0.7120094 0.70217
W 0.5017515 0.401985 0.7077069 0.7065062
W 0.5617512 0.4021973 0.7058548 0.7083566
W 0.6217508 0.4024096 0.7058548 0.7083566
W 0.6817505 0.4026219 0.7058548 0.7083566
W 0.7417501 0.4028341 0.7058548 0.7083566
W 0.8017498 0.4030464 0.7058548 0.7083566
W 0.8617494 0.4032587 0.7058548 0.7083566
W 0.9217491 0.403471 0.7058548 0.7083566
W 0.9817487 0.4036833 0.7058548 0.7083566
W 1.041748 0.4038956 0.7058548 0.7083566
W 1.101748 0.4041078 0.7058548 0.7083566
W 1.161747 0.4043201 0.7058548 0.7083566
W 1.221747 0.4045324 0.7058548 0.7083566
W 1.281747 0.4047447 0.7058548 0.7083566
W 1.341746 0.404957 0.7058548 0.7083566
W 1.401746 0.4051692 0.7058548 0.7083566
W 1.461745 0.4053815 0.7058548 0.7083566
W 1.521745 0.4055938 0.7058548 0.7083566
W 1.581745 0.4058061 0.7058548 0.7083566
W 1.641744 0.4060184 0.7058548 0.7083566
